course_id,title,credit,ects,theoritical_credit,practical_credit,course_year
"ADP 101","Touch Typing Techniques I",2,6,1,2,1
"ADP 102","Touch Typing Techniques II",2,6,1,2,1
"ADP 103","Fundamental Concepts Of Law",3,5,3,0,1
"ADP 104","Office Management And Ergonomics",3,5,3,0,1
"ADP 105","Civil Law",3,5,3,0,1
"ADP 106","Law Of Obligations",3,4,3,0,1
"ADP 107","Constitutional Law",3,5,3,0,1
"ADP 108","Administrative Law",3,4,3,0,1
"ADP 110","Law Of Civil Procedure",3,4,3,0,1
"ADP 200",Internship,0,8,0,0,2
"ADP 201","Touch Typing Techniques III",2,5,1,2,2
"ADP 202","Touch Typing Techniques IV",2,5,1,2,2
"ADP 203","Commercial Law",3,5,3,0,2
"ADP 204","Law Of Criminal Procedure",3,4,3,0,2
"ADP 205","Criminal Law",3,5,3,0,2
"ADP 206","Tax Law",3,3,3,0,2
"ADP 207","Administrative Jurisdiction",2,4,2,0,2
"ADP 208","Law Of Commercial Papers",2,3,2,0,2
"ADP 209",Forensics,2,4,2,0,2
"ADP 210","Prison Administration And Criminal Enforcement Law",2,4,2,0,2
"ADP 211","Written Notice Law And Legal Correspondence",2,4,2,0,2
"ADP 212","Labor And Social Security Law",2,4,2,0,2
"ADP 214",Accounting,3,4,3,0,2
"ADP 215","Banking Law",2,4,2,0,2
"ARAB 101","Arabic I",3,5,3,0,1
"ARAB 102","Arabic II",3,5,3,0,1
"ARAB 201","Arabic III",3,5,3,0,2
"ARAB 202","Arabic IV",3,5,3,0,2
"ARCH 101","Design Studio I",6,10,4,4,1
"ARCH 102","Design Studio II",6,10,4,4,1
"ARCH 103","Communications I",3,5,2,2,1
"ARCH 104","Communications II",3,5,2,2,1
"ARCH 106","Introduction to Architecture I",3,5,3,0,1
"ARCH 201","Design Studio III",6,10,4,4,2
"ARCH 202","Design Studio IV",6,10,4,4,2
"ARCH 203","Communications III",2,3,1,2,2
"ARCH 204","Communications IV",2,3,1,2,2
"ARCH 205","Material and Technology I",3,4,2,2,2
"ARCH 206","Material and Technology II",3,4,2,2,2
"ARCH 207","History and Theory I",3,3,3,0,2
"ARCH 208","History and Theory II",3,3,3,0,2
"ARCH 209","Structure I",2,2,2,0,2
"ARCH 210","Structure II",2,2,2,0,2
"ARCH 221","Vocabulary of Modern Architecture",2,3,2,0,2
"ARCH 301","Design Studio V",6,10,4,4,3
"ARCH 302","Design Studio VI",6,10,4,4,3
"ARCH 303","Conservation and Design",2,3,1,2,3
"ARCH 304","City and Design",2,3,2,0,3
"ARCH 305","Material and Technology III",3,4,2,2,3
"ARCH 306","Material and Technology IV",3,4,2,2,3
"ARCH 307","History and Theory III",3,3,3,0,3
"ARCH 308","History and Theory IV",3,3,3,0,3
"ARCH 309","Summer Internship I",1,2,0,2,3
"ARCH 401","Design Studio VII",6,10,4,4,4
"ARCH 402","Diploma Project",6,12,4,4,4
"ARCH 403","Detail and Design",2,2,2,0,4
"ARCH 404","Profession and Practice",3,3,3,0,4
"ARCH 405","Introduction to Architecture II",2,2,2,0,4
"ARCH 407","Summer Internship II",1,1,0,2,4
"ARM 101",Armenian,3,5,3,0,1
"BIL 101","Information Technologies",2,2,2,0,1
"BIO 101","Life Sciences II - Biology",3,5,3,0,1
"BÖL 101","Departmental Elective",3,5,0,0,1
"BÖL 102","Bölüm Seçmeli",3,5,0,0,1
"BPP 101","Object-Based Programming I",3,6,2,2,1
"BPP 102","Object-Based Programming II",3,6,2,2,1
"BPP 103","Introduction To Algorithm And Programming",3,6,2,2,1
"BPP 104","Fundamentals Of Database Systems",3,6,2,2,1
"BPP 105","Fundamentals Of Network Systems",3,4,3,0,1
"BPP 106","Fundamentals Of Web Design",3,6,3,0,1
"BPP 107","Computer Hardware",3,4,3,0,1
"BPP 108","Professional Mathematics",3,5,3,0,1
"BPP 109",Mathematics,2,3,2,0,1
"BPP 200","Yaz Stajı",0,8,0,0,2
"BPP 201","Visual Programing I",3,6,2,2,2
"BPP 202","Visual Programing II",3,6,2,2,2
"BPP 203","Internet Programming I",3,6,2,2,2
