Department Name,Course Code,Course Title,Type,Prerequisites,Theoritical,Practical,Course Credits,ECTS
Political Science and International Relations Department (in Turkish),SYS 402,Turkish Foreign Policy,Required,SYS 202,3,0,3,6
Political Science and International Relations Department (in English),POLS 402,Turkish Foreign Policy,Required,POLS 202,3,0,3,6
Psychology Department (in Turkish),PSI 402,Psikolojide Tarih ve Sistemler,Required,At Least Success 68 Crh.,3,0,3,6
Psychology Department (in English),PSY 414,History and Systems in Psychology,Required,,3,0,3,6
Sociology Department,SOC 458,Historical Sociology,Required,,3,0,3,6
Philosophy Department,PHIL 402,Contemporary Philosophy,Required,,3,0,3,6
Philosophy Department,PHIL 404,Political Philosophy,Required,,3,0,3,6
Philosophy Department,PHIL 406,Graduate Project,Required,,3,0,3,6
History Department,HIST 402,Contemporary Historiography,Required,,3,0,3,7
History Department,HIST 406,Senior Project,Required,,3,0,3,9
Turkish Language and Literature Department,LIT 406,Literature and Humanities,Required,,3,0,3,6
English Language and Literature Department,ELIT 404,World Literature,Required,,3,0,3,6
Translation and Interpretation Department,TRI 402,Translation Criticism,Required,TRI 301,3,0,3,6
Translation and Interpretation Department,TRI 404,Senior Project,Required,,3,0,3,9
Industrial Engineering Department (in English),ENGR 498,Global Design Project II Synthesis,Required,"At Least Success 90 Crh, ENGR 497",1,2,2,10
Industrial Engineering Department (in Turkish),MDB 498,Bitirme Projesi II,Required,"Senior standing and GPA at least 2.00, MDB 497",1,2,2,10
Computer Science and Engineering Department,ENGR 498,Global Design Project II Synthesis,Required,"At Least Success 90 Crh, ENGR 497",1,2,2,10
Computer Science and Engineering Department,UNI 202,Formations of Modern Turkey II,Required,,3,0,3,5
Electrical and Electronics Engineering Department,ENGR 498,Global Design Project II Synthesis,Required,"At Least Success 90 Crh, ENGR 497",1,2,2,10
Electrical and Electronics Engineering Department,IE 451,Project Management,Required,Jenior Year Standing,2,1,3,5
Civil Engineering Department,ENGR 498,Global Design Project II Synthesis,Required,"At Least Success 90 Crh, ENGR 497",1,2,2,10
Mechanical Engineering Department,ENGR 498,Global Design Project II Synthesis,Required,"At Least Success 90 Crh, ENGR 497",1,2,2,10
Mechanical Engineering Department,ME 441,Computer Aided Analysis,Required,"At Least Success 90 Crh, ME 331",2,2,3,5
Management Department,MGT 436,Entrepreneurship,Required,,3,0,3,6
International Trade and Management Department,ITM 300,Internship II,Required,,0,0,0,5
International Trade and Management Department,ITM 406,Global Business Strategy,Required,,3,2,4,8
Entrepreneurship Department,GIR 300,Internship 2,Required,,0,0,0,5
Entrepreneurship Department,YBS 451,Proje Yönetimi,Required,,3,0,3,10
Cinema and Television Department (in Turkish),STV 402,Mezuniyet Projesi Yapımı,Required,,3,2,4,15
Cinema and Television Department (in Turkish),STV 404,Dünya Sineması,Required,,3,0,3,5
Cinema and Television Department (in English),CTV 402,Senior Graduation Project,Required,CTV 401,3,2,4,15
Cinema and Television Department (in English),CTV 404,World Cinema,Required,,3,0,3,5
Public Relations and Advertising Department,HIL 402,Senior Project Production,Required,,3,2,4,10
Public Relations and Advertising Department,HIL 404,Consumer Behaviour,Required,,3,0,3,5
New Media and Communication Department,YMI 402,Mezuniyet Projesi Yapımı,Required,,3,2,4,10
New Media and Communication Department,YMI 404,Yeni Medya Alanında Güncel Yaklaşımlar,Required,,3,0,3,5
Islamic Studies,ISS 404,Islamic Criminal Law and International Relations,Required,"UNI 124, ISS 104",2,2,3,5
Islamic Studies,ISS 408,Turkish Islamic Literature,Required,,2,0,2,3
Islamic Studies,ISS 410,History of Tasavvuf,Required,UNI 124,3,0,3,5
Islamic Studies,ISS 412,History of Religion: Christianity and Contemporary Religious Movements,Required,,2,1,3,5
Islamic Studies,ISS 414,Modern Islamic Thought,Required,UNI 124,2,0,2,3
