Department Name,Course Code,Course Title,Prerequisites,Theoritical,Practical,Course Credits,ECTS
Political Science and International Relations Department (in Turkish),UNIT 100,Exploring Istanbul,,2,2,3,5
Political Science and International Relations Department (in Turkish),UNIT 111,Critical Reading and Writing in Turkish I,,3,0,3,5
Political Science and International Relations Department (in Turkish),UNIT 117,Understanding Society and Culture,,3,0,3,5
Political Science and International Relations Department (in Turkish),UNIT 221,World Civilizations and Global Encounters: Until 1300 CE,,3,0,3,5
Political Science and International Relations Department (in Turkish),UNIT 112,Critical Reading and Writing in Turkish II,,3,0,3,5
Political Science and International Relations Department (in Turkish),UNIT 118,Understanding Politics and Economy,,3,0,3,5
Political Science and International Relations Department (in Turkish),UNIT 222,World Civilizations and Global Encounters: Since 1300 CE,,3,0,3,5
Political Science and International Relations Department (in Turkish),SYS 201,Political Science,,3,0,3,5
Political Science and International Relations Department (in Turkish),SYS 203,Classics of Political Thought: The Ancients,,3,0,3,5
Political Science and International Relations Department (in Turkish),SYS 205,Emergence of Modern International Order,,3,0,3,5
Political Science and International Relations Department (in Turkish),SYS 207,Fundamentals of Law,,3,0,3,5
Political Science and International Relations Department (in Turkish),SYS 219,Macro Economics,,3,0,3,5
Political Science and International Relations Department (in Turkish),SYS 202,International Relations,,3,0,3,5
Political Science and International Relations Department (in Turkish),SYS 204,Classics of Political Thought: The Moderns,,3,0,3,5
Political Science and International Relations Department (in Turkish),SYS 208,Constitutional Politics,,3,0,3,5
Political Science and International Relations Department (in Turkish),SYS 214,Contemporary International Politics,,3,0,3,5
Political Science and International Relations Department (in Turkish),SYS 220,Micro Economics,,3,0,3,5
Political Science and International Relations Department (in Turkish),SYS 301,International Law and Organizations,,3,0,3,6
Political Science and International Relations Department (in Turkish),SYS 303,Research Methods,,3,0,3,7
Political Science and International Relations Department (in Turkish),UNIT 201,Formations of Modern Turkey I,,3,0,3,5
Political Science and International Relations Department (in Turkish),SYS 302,Contemporary Political Ideologies,,3,0,3,7
Political Science and International Relations Department (in Turkish),SYS 308,Comparative Political Systems,,3,0,3,6
Political Science and International Relations Department (in Turkish),UNIT 202,Formations of Modern Turkey II,,3,0,3,5
Political Science and International Relations Department (in Turkish),SYS 403,International Political Economy,SYS 202,3,0,3,6
Political Science and International Relations Department (in Turkish),SYS 402,Turkish Foreign Policy,SYS 202,3,0,3,6
Political Science and International Relations Department (in English),UNI 100,Exploring İstanbul,,2,2,3,5
Political Science and International Relations Department (in English),UNI 111,Critical Reading and Writing in Turkish I,,3,0,3,5
Political Science and International Relations Department (in English),UNI 117,Understanding Society and Culture,,3,0,3,5
Political Science and International Relations Department (in English),UNI 123,Textual Analysis and Effective Communication,,3,0,3,5
